科目,教授,年份,類別,類型,名稱,路徑
通訊系統導論,陳伯寧,108學年,期中考,pdf,midterm2,大三以上選修/通訊系統導論/陳伯寧/Exam/midterm2-solution_2019fall.pdf
通訊系統導論,陳伯寧,108學年,期末考,pdf,final,大三以上選修/通訊系統導論/陳伯寧/Exam/final-solution_2019fall.pdf
通訊系統導論,黃家齊,108學年,小考,pdf,quiz1,大三以上選修/通訊系統導論/黃家齊/通訊系統導論108-2/通訊系統導論_黃家齊/小考1/小考(一)解答.2020S.pdf
通訊系統導論,黃家齊,108學年,小考,zip,quiz2,大三以上選修/通訊系統導論/黃家齊/通訊系統導論108-2/通訊系統導論_黃家齊/小考2/quiz2.zip
通訊系統導論,黃家齊,108學年,小考,zip,quiz3,大三以上選修/通訊系統導論/黃家齊/通訊系統導論108-2/通訊系統導論_黃家齊/小考3/quiz3.zip
通訊系統導論,黃家齊,108學年,小考,zip,quiz4,大三以上選修/通訊系統導論/黃家齊/通訊系統導論108-2/通訊系統導論_黃家齊/小考4/quiz4.zip
通訊系統導論,黃家齊,108學年,期中考,zip,midterm,大三以上選修/通訊系統導論/黃家齊/2020/midterm/midterm.zip
通訊系統導論,黃家齊,108學年,期中考,zip,midterm,大三以上選修/通訊系統導論/黃家齊/通訊系統導論108-2/通訊系統導論_黃家齊/midterm.zip
通訊系統導論,黃家齊,108學年,期末考,zip,final,大三以上選修/通訊系統導論/黃家齊/通訊系統導論108-2/通訊系統導論_黃家齊/final.zip
程式化邏輯系統設計,歐陽盟,102學年,期中考,zip,midterm,大三以上選修/程式化邏輯系統設計/2013_Midterm.zip
程式化邏輯系統設計,歐陽盟,104學年,期末考,zip,final,大三以上選修/程式化邏輯系統設計/2015_Final.zip
程式化邏輯系統設計,歐陽盟,107學年,期末考,zip,final,大三以上選修/程式化邏輯系統設計/2018_Final.zip
電力電子實驗,陳鴻祺,101學年,小考,zip,quiz,大三以上選修/電力電子實驗/陳鴻祺/101學年度考古題/quiz.zip
電力電子實驗,陳鴻祺,105學年,小考,pdf,quiz,大三以上選修/電力電子實驗/陳鴻祺/105學年度考古題/FY105電力電子實驗小考01解答.pdf
電力電子實驗,陳鴻祺,105學年,期中考,zip,midterm,大三以上選修/電力電子實驗/陳鴻祺/105學年度考古題/midterm.zip
電力電子實驗,陳鴻祺,105學年,期末考,zip,final,大三以上選修/電力電子實驗/陳鴻祺/105學年度考古題/final.zip
電力電子實驗,陳鴻祺,105學年,實驗,zip,lab1,大三以上選修/電力電子實驗/陳鴻祺/2016Fall/Lab/lab1.zip
電力電子實驗,陳鴻祺,105學年,實驗,zip,lab2,大三以上選修/電力電子實驗/陳鴻祺/2016Fall/Lab/lab2.zip
電力電子實驗,陳鴻祺,105學年,實驗,zip,lab3,大三以上選修/電力電子實驗/陳鴻祺/2016Fall/Lab/lab3.zip
電力電子實驗,陳鴻祺,105學年,實驗,zip,lab4,大三以上選修/電力電子實驗/陳鴻祺/2016Fall/Lab/lab4.zip
電力電子實驗,陳鴻祺,105學年,實驗,zip,lab5,大三以上選修/電力電子實驗/陳鴻祺/2016Fall/Lab/lab5.zip
電力電子實驗,陳鴻祺,105學年,實驗,zip,lab6,大三以上選修/電力電子實驗/陳鴻祺/2016Fall/Lab/lab6.zip
電力電子實驗,陳鴻祺,105學年,實驗,zip,lab7,大三以上選修/電力電子實驗/陳鴻祺/2016Fall/Lab/lab7.zip
