年級,科目,教授,年份,類別,名稱,路徑
大三以上,通訊系統導論,陳伯寧,107學年,小考,quiz12,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz12.zip
大三以上,通訊系統導論,陳伯寧,107學年,期中考,midterm1,大三以上選修/通訊系統導論/陳伯寧/Exam/midterm1-solution_2018fall(Oct.29)(ch1).pdf
大三以上,通訊系統導論,陳伯寧,107學年,期中考,midterm2,大三以上選修/通訊系統導論/陳伯寧/Exam/midterm2-solution_2018fall(Dec.17)(ch2.3).pdf
大三以上,通訊系統導論,陳伯寧,107學年,期末考,final_sample,大三以上選修/通訊系統導論/陳伯寧/quiz/final_sample18fall.pdf
大三以上,通訊系統導論,陳伯寧,107學年,期末考,final,大三以上選修/通訊系統導論/陳伯寧/Exam/final-solution_2018fall(Jan.3)(ch4.5).pdf
大三以上,通訊系統導論,陳伯寧,108學年,小考,quiz1,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz01_solution19fall.pdf
大三以上,通訊系統導論,陳伯寧,108學年,小考,quiz2,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz02_solution19fall.pdf
大三以上,通訊系統導論,陳伯寧,108學年,小考,quiz3,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz03_solution19fall.pdf
大三以上,通訊系統導論,陳伯寧,108學年,小考,quiz4,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz04_solution19fall.pdf
大三以上,通訊系統導論,陳伯寧,108學年,小考,quiz5,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz05_solution19fall.pdf
大三以上,通訊系統導論,陳伯寧,108學年,小考,quiz6,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz06_solution19fall.pdf
大三以上,通訊系統導論,陳伯寧,108學年,小考,quiz7,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz07_solution19fall.pdf
大三以上,通訊系統導論,陳伯寧,108學年,小考,quiz8,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz08_solution19fall.pdf
大三以上,通訊系統導論,陳伯寧,108學年,小考,quiz9,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz09_solution19fall.pdf
大三以上,通訊系統導論,陳伯寧,108學年,小考,quiz10,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz10_solution19fall.pdf
大三以上,通訊系統導論,陳伯寧,108學年,小考,quiz11,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz11_solution19fall.pdf
大三以上,通訊系統導論,陳伯寧,108學年,小考,quiz12,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz12_solution19fall.pdf
大三以上,通訊系統導論,陳伯寧,108學年,期中考,midterm2,大三以上選修/通訊系統導論/陳伯寧/Exam/midterm2-solution_2019fall.pdf
大三以上,通訊系統導論,陳伯寧,108學年,期末考,final,大三以上選修/通訊系統導論/陳伯寧/Exam/final-solution_2019fall.pdf
大三以上,通訊系統導論,黃家齊,108學年,小考,quiz1,大三以上選修/通訊系統導論/黃家齊/通訊系統導論108-2/通訊系統導論_黃家齊/小考1/小考(一)解答.2020S.pdf
大三以上,通訊系統導論,黃家齊,108學年,小考,quiz2,大三以上選修/通訊系統導論/黃家齊/通訊系統導論108-2/通訊系統導論_黃家齊/小考2/quiz2.zip
大三以上,通訊系統導論,黃家齊,108學年,小考,quiz3,大三以上選修/通訊系統導論/黃家齊/通訊系統導論108-2/通訊系統導論_黃家齊/小考3/quiz3.zip
